run_id,policy,t_rel_s,n_c1_search,c1_search_viol_pct,c1_search_viol_pct_roll3,rate_kbit
B_ramp_site_s3,site_s3,346,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,347,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,348,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,349,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,350,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,351,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,352,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,353,132,0.0,0.0,1600
B_ramp_site_s3,site_s3,354,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,355,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,356,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,357,132,0.0,0.0,1600
B_ramp_site_s3,site_s3,358,134,0.0,0.0,1600
B_ramp_bl_rr,bl_rr,0,135,7.4074,5.9938,
B_ramp_bl_rr,bl_rr,1,131,4.5802,7.7837,
B_ramp_bl_rr,bl_rr,2,132,11.3636,9.7922,
B_ramp_bl_rr,bl_rr,3,134,13.4328,11.942,
B_ramp_bl_rr,bl_rr,4,136,11.0294,9.6578,
B_ramp_bl_rr,bl_rr,5,133,4.5113,7.4703,
B_ramp_bl_rr,bl_rr,6,131,6.8702,6.0326,
B_ramp_bl_rr,bl_rr,7,134,6.7164,5.5239,
B_ramp_bl_rr,bl_rr,8,134,2.9851,4.7153,
B_ramp_bl_rr,bl_rr,9,135,4.4444,4.7666,
B_ramp_bl_rr,bl_rr,10,131,6.8702,5.5392,
B_ramp_bl_rr,bl_rr,11,132,5.303,8.2866,
B_ramp_bl_rr,bl_rr,12,134,12.6866,8.7126,
B_ramp_bl_rr,bl_rr,13,135,8.1481,9.4325,
B_ramp_bl_rr,bl_rr,14,134,7.4627,6.9848,
B_ramp_bl_rr,bl_rr,15,131,5.3435,6.0364,
B_ramp_bl_rr,bl_rr,16,132,5.303,7.9606,
B_ramp_bl_rr,bl_rr,17,136,13.2353,7.9078,
B_ramp_bl_rr,bl_rr,18,135,5.1852,7.9213,
B_ramp_bl_rr,bl_rr,19,131,5.3435,5.5298,
B_ramp_bl_rr,bl_rr,20,132,6.0606,5.0545,
B_ramp_bl_rr,bl_rr,21,133,3.7594,7.6529,
B_ramp_bl_rr,bl_rr,22,137,13.1387,7.8883,
B_ramp_bl_rr,bl_rr,23,133,6.7669,8.4029,
B_ramp_bl_rr,bl_rr,24,132,5.303,6.0283,
B_ramp_bl_rr,bl_rr,25,133,6.015,6.0115,
B_ramp_bl_rr,bl_rr,26,134,6.7164,9.1821,
B_ramp_bl_rr,bl_rr,27,135,14.8148,10.4599,
B_ramp_bl_rr,bl_rr,28,132,9.8485,10.0023,
B_ramp_bl_rr,bl_rr,29,131,5.3435,6.5678,
B_ramp_bl_rr,bl_rr,30,133,4.5113,4.9881,
B_ramp_bl_rr,bl_rr,31,137,5.1095,5.2271,
B_ramp_bl_rr,bl_rr,32,132,6.0606,5.979,
B_ramp_bl_rr,bl_rr,33,133,6.7669,6.8204,
B_ramp_bl_rr,bl_rr,34,131,7.6336,7.9864,
B_ramp_bl_rr,bl_rr,35,136,9.5588,11.0338,
B_ramp_bl_rr,bl_rr,36,132,15.9091,10.2306,
B_ramp_bl_rr,bl_rr,37,134,5.2239,11.8062,
B_ramp_bl_rr,bl_rr,38,133,14.2857,8.0183,
B_ramp_bl_rr,bl_rr,39,132,4.5455,8.2235,
B_ramp_bl_rr,bl_rr,40,137,5.8394,4.7242,
B_ramp_bl_rr,bl_rr,41,132,3.7879,5.4647,
B_ramp_bl_rr,bl_rr,42,133,6.7669,6.5033,
B_ramp_bl_rr,bl_rr,43,134,8.9552,7.0084,
B_ramp_bl_rr,bl_rr,44,132,5.303,8.6743,
B_ramp_bl_rr,bl_rr,45,136,11.7647,7.7094,
B_ramp_bl_rr,bl_rr,46,132,6.0606,7.7229,
B_ramp_bl_rr,bl_rr,47,131,5.3435,6.0402,
B_ramp_bl_rr,bl_rr,48,134,6.7164,6.9612,
B_ramp_bl_rr,bl_rr,49,136,8.8235,12.2507,
B_ramp_bl_rr,bl_rr,50,132,21.2121,12.5564,
B_ramp_bl_rr,bl_rr,51,131,7.6336,14.5535,
B_ramp_bl_rr,bl_rr,52,135,14.8148,8.9866,
B_ramp_bl_rr,bl_rr,53,133,4.5113,7.9126,
B_ramp_bl_rr,bl_rr,54,136,4.4118,3.4794,
B_ramp_bl_rr,bl_rr,55,132,1.5152,3.5024,
B_ramp_bl_rr,bl_rr,56,131,4.5802,3.5355,
B_ramp_bl_rr,bl_rr,57,133,4.5113,5.7069,
B_ramp_bl_rr,bl_rr,58,137,8.0292,7.463,
B_ramp_bl_rr,bl_rr,59,132,9.8485,9.2174,
B_ramp_bl_rr,bl_rr,60,133,9.7744,13.3079,
B_ramp_bl_rr,bl_rr,61,133,20.3008,13.7564,
B_ramp_bl_rr,bl_rr,62,134,11.194,12.7205,20000
B_ramp_bl_rr,bl_rr,63,135,6.6667,8.2263,20000
B_ramp_bl_rr,bl_rr,64,132,6.8182,5.7672,20000
B_ramp_bl_rr,bl_rr,65,131,3.8168,3.7956,20000
B_ramp_bl_rr,bl_rr,66,133,0.7519,4.9543,20000
B_ramp_bl_rr,bl_rr,67,136,10.2941,4.6845,20000
B_ramp_bl_rr,bl_rr,68,133,3.0075,7.1908,20000
B_ramp_bl_rr,bl_rr,69,133,8.2707,6.015,20000
B_ramp_bl_rr,bl_rr,70,133,6.7669,6.2563,20000
B_ramp_bl_rr,bl_rr,71,134,3.7313,7.697,18327
B_ramp_bl_rr,bl_rr,72,135,12.5926,7.4615,18327
B_ramp_bl_rr,bl_rr,73,132,6.0606,9.2947,18327
B_ramp_bl_rr,bl_rr,74,130,9.2308,9.0772,18327
B_ramp_bl_rr,bl_rr,75,134,11.9403,9.2468,18327
B_ramp_bl_rr,bl_rr,76,137,6.5693,9.1774,18327
